ids,Heating,Cooling,Basement,Flooring1,Flooring2,Architecture,ConstructMat1,ConstructMat2,RoofMat,LotSize,HomeType,TotalLivArea,Bathrooms,Bedrooms,FullBaths,HalfBaths,Stories,ExteriorFeat,ExteriorMat1,ExteriorMat2,Address,StreetName,Region,Zipcode,YearBuilt,PriceSqft,SalePrice,ListingURL,DateSold
2168,Heat pump,Central,Partially finished,Carpet,Wood Floors,Contemporary,Other,Vinyl Siding,Other,1785,Townhouse,1672,3,3,2,1,3,Patio,Brick,Other,"4312 Lavender Ln, Bowie, MD 20720",Lavender Ln,Bowie,MD 20720,2002,201,336000,https://www.zillow.com/homedetails/4312-Lavender-Ln-Bowie-MD-20720/37491204_zpid/,19-Sep
2169,Forced air,Central,Finished basement,Hardwood,Hardwood,Colonial,Brick Front,Combination,Composition,17424,Single Family,2994,4,4,3,1,2,Patio,Brick,Vinyl,"4801 Gerrards Hope Dr, Bowie, MD 20720",Gerrards Hope Dr,Bowie,MD 20720,2004,177,530000,https://www.zillow.com/homedetails/4801-Gerrards-Hope-Dr-Bowie-MD-20720/62876858_zpid/,19-Sep
2170,Forced air,Central,Finished basement,Carpet,Hardwood,Colonial,Stone,Vinyl Siding,Shake/Shingle,7405,Single Family,3524,3,4,2,1,3,Patio,Stone,Vinyl,"12312 Eugenes Prospect Dr, Bowie, MD 20720",Eugenes Prospect Dr,Bowie,MD 20720,2003,132,465000,https://www.zillow.com/homedetails/12312-Eugenes-Prospect-Dr-Bowie-MD-20720/58238962_zpid/,19-Sep
2171,Forced air,Central,Partially finished,Carpet,Wood Floors,Colonial,Vinyl Siding,Brick Front,Shake/Shingle,10328,Single Family,2560,4,4,3,1,3,Patio,Brick,Vinyl,"3504 Golden Hill Dr, Bowie, MD 20721",Golden Hill Dr,Bowie,MD 20721,1993,160,410000,https://www.zillow.com/homedetails/3504-Golden-Hill-Dr-Bowie-MD-20721/37473557_zpid/,19-Sep
2172,Forced air,Central,Partially finished,Carpet,Hardwood,Colonial,Other,Other,Asphalt,10890,Single Family,4792,4,5,3,1,3,Patio,Brick,Brick,"12405 Marleigh Dr, Bowie, MD 20720",Marleigh Dr,Bowie,MD 20720,2002,105,505000,https://www.zillow.com/homedetails/12405-Marleigh-Dr-Bowie-MD-20720/37419951_zpid/,19-Aug
2173,Baseboard,Central,Partially finished,Laminate,Laminate,Colonial,Vinyl Siding,Brick,Composition,10058,Single Family,1826,4,4,3,1,2,Patio,Brick,Vinyl,"10901 Maiden Dr, Bowie, MD 20720",Maiden Dr,Bowie,MD 20720,1979,201,366300,https://www.zillow.com/homedetails/10901-Maiden-Dr-Bowie-MD-20720/37477104_zpid/,19-Aug
2174,Forced air,Central,Finished basement,No Data,No Data,Contemporary,Aluminum Siding,Aluminum Siding,No Data,4939,Townhouse,1873,3,3,2,1,3,Water,No Data,No Data,"4843 Brookstone Ter UNIT 21, Bowie, MD 20720",Brookstone Ter,Bowie,MD 20720,1988,125,235000,https://www.zillow.com/homedetails/4843-Brookstone-Ter-UNIT-21-Bowie-MD-20720/37472968_zpid/,19-Aug
2175,Forced air,Central,Partially finished,Carpet,Wood Floors,Colonial,Vinyl Siding,Brick Front,Shake/Shingle,8001,Single Family,4186,4,4,4,0,3,Water,Brick,Vinyl,"4402 Hatties Progress Dr, Bowie, MD 20720",Hatties Progress Dr,Bowie,MD 20720,2006,125,525000,https://www.zillow.com/homedetails/4402-Hatties-Progress-Dr-Bowie-MD-20720/67219805_zpid/,19-Aug
2176,Heat pump,Central,None,No Data,No Data,Contemporary,Stucco,Stucco,Shake/Shingle,98881.2,Single Family,5282,5,5,5,0,0,Patio,Stucco,Stucco,"4905 Sundown Cir, Bowie, MD 20720",Sundown Cir,Bowie,MD 20720,1989,131,690000,https://www.zillow.com/homedetails/4905-Sundown-Cir-Bowie-MD-20720/37410260_zpid/,19-Aug
2177,Heat pump,Central,Finished basement,Tile,Tile,Contemporary,Vinyl Siding,Combination,Shake/Shingle,1690,Townhouse,1166,2,3,1,1,3,Patio,Vinyl,Vinyl,"11252 Westport Dr, Bowie, MD 20720",Westport Dr,Bowie,MD 20720,1984,215,250500,https://www.zillow.com/homedetails/11252-Westport-Dr-Bowie-MD-20720/37481042_zpid/,19-Aug
